25-Mar-2010 16:56:10:	$IIMWV,006,T,05.5,N,A*13
25-Mar-2010 16:56:10:	$IIRMB,A,0.23,R,,BAYBDG  ,,,,,008.10,001,,V,A*7B
25-Mar-2010 16:56:11:	$IIRMC,235609,A,3739.856,N,12222.814,W,00.0,017,250310,15,E,A*1B
25-Mar-2010 16:56:11:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:11:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:11:	$IIGLL,3739.856,N,12222.814,W,235609,A,A*40
25-Mar-2010 16:56:11:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:11:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:11:	$IIMWV,005,R,05.8,N,A*1B
25-Mar-2010 16:56:11:	$IIMWV,005,T,05.6,N,A*13
25-Mar-2010 16:56:11:	$IIRMC,235610,A,3739.856,N,12222.813,W,00.0,017,250310,15,E,A*14
25-Mar-2010 16:56:12:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:12:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:12:	$IIGLL,3739.856,N,12222.813,W,235610,A,A*4F
25-Mar-2010 16:56:12:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:12:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:12:	$IIMWV,002,R,06.2,N,A*15
25-Mar-2010 16:56:12:	$IIMWV,005,T,05.8,N,A*1D
25-Mar-2010 16:56:12:	$IIRMB,A,0.23,R,,BAYBDG  ,,,,,008.10,001,,V,A*7B
25-Mar-2010 16:56:13:	$IIRMC,235611,A,3739.856,N,12222.813,W,00.0,017,250310,15,E,A*15
25-Mar-2010 16:56:13:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:13:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:13:	$IIGLL,3739.856,N,12222.813,W,235612,A,A*4D
25-Mar-2010 16:56:13:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:13:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:13:	$IIMWV,002,R,06.4,N,A*13
25-Mar-2010 16:56:13:	$IIMWV,002,T,06.2,N,A*13
25-Mar-2010 16:56:14:	$IIRMC,235612,A,3739.856,N,12222.813,W,00.0,017,250310,15,E,A*16
25-Mar-2010 16:56:14:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:14:	$IIVLW,00000,N,000.0,N*53
